Modelo,RMSE Valid,RMSE Test,MAE Valid,MAE Test,MAPE Valid (%),MAPE Test (%),R2 Valid,R2 Test
Linear Regression,0.3397847155384203,0.3005060289433845,0.2547789946274045,0.2509547091298511,9.204438569586046,10.492610085848893,-0.6529548324015813,0.11264976699252327
Random Forest,0.20717049853887207,0.12521995076680073,0.15989740504981012,0.0835803289711936,6.001494435874576,3.5289712718990374,0.3715099105515701,0.8380087926574228
XGBoost,0.1919819837327481,0.1753867771812274,0.1464533618239464,0.1376555517347489,5.540267601282799,6.262393136121032,0.46028615212175694,0.6822115706981622
